#nx,ny,nz
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
  0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,   0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
 -0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.00000000,  -0.00000000,   1.00000000
  0.13052619,   0.00000000,   0.99144486
  0.12940952,   0.01703709,   0.99144486
  0.12607862,   0.03378266,   0.99144486
  0.12059048,   0.04995021,   0.99144486
  0.11303900,   0.06526310,   0.99144486
  0.10355339,   0.07945931,   0.99144486
  0.09229596,   0.09229596,   0.99144486
  0.07945931,   0.10355339,   0.99144486
  0.06526310,   0.11303900,   0.99144486
  0.04995021,   0.12059048,   0.99144486
  0.03378266,   0.12607862,   0.99144486
  0.01703709,   0.12940952,   0.99144486
  0.00000000,   0.13052619,   0.99144486
 -0.01703709,   0.12940952,   0.99144486
 -0.03378266,   0.12607862,   0.99144486
 -0.04995021,   0.12059048,   0.99144486
 -0.06526310,   0.11303900,   0.99144486
 -0.07945931,   0.10355339,   0.99144486
 -0.09229596,   0.09229596,   0.99144486
 -0.10355339,   0.07945931,   0.99144486
 -0.11303900,   0.06526310,   0.99144486
 -0.12059048,   0.04995021,   0.99144486
